arxiv,state,has_bib,A,A_bib,A_body,B14,B_any,C,sites_all,sites14,evidence
2404.19676,measured,1,1,1,0,0,0,0,1,1,"70, 32 \bibitem[{{Lamzin}(1998)}]{lamzin1998} {Lamzin}, S.~A. 1998, Astronomy Reports, 42, 322 \bibitem[{Lindegren(2018)}]{lindegren2018} Lindegren, L. 2018, gAIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2021){Lindegren}, {Bastian}, {Biermann}, {Bombrun}, {de Torres}, {Gerlach}, {Geyer}, {Hern{\'a}ndez}, {Hilger}, {"
2405.10379,measured,1,1,1,0,0,0,0,1,1,"bibitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{lindegren2018} Lindegren L., 2018, {R}e-normalising the astrometric chi-square in {G}aia {D}{R}2, GAIA-C3-TN-LU-LL-124, \url {http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{{Mann} et~al.,}{{Mann} et~al.}{2019}]{Mann2019} {Mann} A.~"
2406.04288,measured,1,0,0,0,0,0,0,3,1,
2406.07196,measured,1,0,0,0,0,0,1,3,3,
2407.04765,measured,1,0,0,0,0,0,0,1,1,
2407.10823,measured,1,0,0,0,0,0,0,4,4,
2407.12583,measured,1,0,0,0,0,0,0,1,1,
2407.18828,measured,1,0,0,0,0,0,0,1,1,
2408.05423,measured,1,0,0,0,0,0,0,3,1,
2409.16992,measured,1,0,0,0,0,0,1,19,7,
2410.14372,measured,1,1,1,0,0,0,1,5,5,"te University, United States \bibitem[{Lindegren(2019)}]{LL:LL-125} Lindegren, L. 2019, {Gaia} Data Processing and Analysis Consortium (DPAC) technical note GAIA-C3-TN-LU-LL-125, \url{http://www.cosmos.esa.int/web/gaia/public-dpac-documents} \bibitem[{{Lindegren} {et~al.}(2018){Lindegren}, {Hern{\'a}ndez}, {Bombrun}, {Kl"
2410.20194,measured,1,0,0,0,0,0,0,2,1,
2411.00088,measured,1,1,1,0,0,0,0,9,8,"m[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{Lindegren_2018_RUWE} Lindegren L., 2018, {R}e-normalising the astrometric chi-square in {G}aia {D}{R}2, GAIA-C3-TN-LU-LL-124, \url {http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2022}]{Lindegren2022} Lindegren L., "
2412.08465,measured,1,0,0,0,0,0,0,9,9,
2501.06295,measured,1,0,0,0,0,0,0,4,3,
2501.08486,measured,1,0,0,0,0,0,0,6,1,
2501.14462,measured,1,0,0,0,0,0,1,15,8,
2501.14494,measured,1,0,0,0,0,0,0,3,3,
2501.14955,measured,1,0,0,0,0,0,0,1,1,
2501.18719,measured,1,1,1,0,0,0,1,4,1," {Zhong}, \& {Chen}}]{li20} {Li}, L., {Shao}, Z., {Li}, Z.-Z., {et~al.} 2020, \apj, 901, 49 \bibitem[{Lindegren(2018)}]{lindegrenruwe18} Lindegren, L. 2018, gAIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2021{\natexlab{a}}){Lindegren}, {Bastian}, {Biermann}, {Bombrun}, {de Torres}, {Gerlach}, {Geyer}, {Hern{\'a}ndez},"
2502.01910,measured,1,0,0,0,0,0,1,3,3,
2502.08068,measured,1,0,0,0,0,0,0,3,2,
2502.09373,measured,1,0,0,0,0,0,0,15,3,
2503.02657,measured,1,0,0,0,0,0,0,1,1,
2503.05160,measured,1,0,0,0,0,0,0,1,1,
2503.08286,measured,1,0,0,0,0,0,1,2,1,
2503.08583,measured,1,0,0,0,0,0,0,1,1,
2504.06362,measured,1,0,0,0,0,0,0,1,1,
2504.06973,measured,1,0,0,0,0,0,0,1,1,
2504.07569,measured,1,0,0,0,0,0,0,6,1,
2504.11528,measured,1,1,1,0,0,0,1,29,12,"m[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{Lindegren_2018_RUWE} Lindegren L., 2018, {R}e-normalising the astrometric chi-square in {G}aia {D}{R}2, GAIA-C3-TN-LU-LL-124, \url {https://dms.cosmos.esa.int/COSMOS/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2022}]{Lindegren2022} Lind"
2505.03085,measured,1,0,0,0,0,0,0,1,1,
2505.03716,measured,1,0,0,0,0,0,0,1,1,
2505.12563,measured,1,0,0,0,0,0,1,6,2,
2506.02763,measured,1,0,0,0,0,0,0,1,1,
2506.07499,measured,1,0,0,0,0,0,1,3,1,
2506.16513,measured,1,0,0,0,0,0,0,1,1,
2506.19933,measured,1,0,0,0,0,0,0,1,1,
2506.21768,measured,1,0,0,0,0,0,0,2,2,
2506.22399,measured,1,0,0,0,0,0,1,5,5,
2507.15936,measured,0,0,0,0,0,0,0,1,1,
2508.01127,measured,1,0,0,0,0,0,0,2,2,
2508.08364,measured,1,0,0,0,0,0,1,3,2,
2508.09845,measured,1,0,0,0,0,0,0,1,1,
2508.14875,measured,1,0,0,0,0,0,0,1,1,
2509.03361,measured,1,0,0,0,0,0,0,1,1,
2509.13412,measured,1,0,0,0,0,0,1,4,1,
2510.13288,measured,1,0,0,0,0,0,0,1,1,
2510.19810,measured,1,1,1,1,1,1,0,2,2,"ised unit weight error (RUWE), removing poor astrometric solutions and binaries, leaving only stars with $\textnormal{RUWE}<1.4$ in the final dataset \citep{LL:LL-124}. After these astrometric quality cuts, some additional quality criteria on the photometric measurements from $Gaia$ had to be taken into account. It is rec"
2511.02539,measured,1,0,0,0,0,0,0,1,1,
2511.07554,measured,0,0,0,0,0,0,0,2,2,
2511.15610,measured,0,0,0,0,0,0,0,2,2,
2511.20923,measured,0,0,0,0,0,0,0,1,1,
2601.05387,measured,0,0,0,0,0,0,0,5,2,
2601.09671,measured,0,0,0,0,0,0,0,4,1,
2601.14367,measured,0,0,0,0,0,0,0,1,1,
2602.02910,measured,0,0,0,0,0,0,1,2,1,
2603.00229,measured,1,1,1,0,0,0,0,2,1,"ck et al.(2024)]{Linck:2024} Linck, E., Mathieu, R.\,d., \& Latham, D.~W.\ 2024, \aj, 168, 205 \bibitem[Lindegren(2018)]{Lindegren:2018} Lindegren, L. 2018, Re-normalising the Astrometric chi-square in Gaia~DR2, GAIA-C3-TN-LU-LL-124-01, (Lund: Gaia~DPAC) \bibitem[Lindegren et al.(2021)]{Lindegren:2021} Lindegren, L., Bastian, U., Biermann, M., "
2603.02327,measured,0,0,0,0,0,0,0,1,1,
